sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
恆春,屏東縣,24,,良好,0.5,0.1,24.2,26,4,2,0.4,0.5,0.1,5.1,225,"2024/06/07 16:00:00",0.1,2.7,1,0,120.788928,21.958069,61
臺東,臺東縣,29,,良好,0.6,0.25,24.3,31.5,4,0,6.1,6.8,0.7,0.2,0,"2024/06/07 16:00:00",0.2,2.1,6,0,121.15045,22.755358,62
花蓮,花蓮縣,34,,良好,0.4,0.22,40.6,37.7,3,3,3.3,4.1,0.7,2.4,44,"2024/06/07 16:00:00",0.3,2.8,3,0,121.599769,23.971306,63
陽明,臺北市,29,,良好,0.1,0.17,33.3,31,3,0,1,1.6,0.5,,,"2024/06/07 16:00:00",0.2,6,7,0,121.529583,25.182722,64
宜蘭,宜蘭縣,35,,良好,0.5,0.24,41.1,38.3,6,4,4.9,6.2,1.3,1.2,131,"2024/06/07 16:00:00",0.2,6.1,6,0,121.746394,24.747917,65
冬山,宜蘭縣,28,,良好,1,0.2,36.1,30,11,1,10.1,12.3,2.2,1.4,131,"2024/06/07 16:00:00",0.2,3,10,0,121.792928,24.632203,66
三重,新北市,52,二氧化氮,普通,0.8,0.77,21.5,22,23,9,33.4,68.9,35.5,-,-,"2024/06/07 16:00:00",0.9,12.4,23,0,121.493806,25.072611,67
中壢,桃園市,50,,良好,0.9,0.73,21.9,17.9,18,11,30,51.4,21.4,0.5,23,"2024/06/07 16:00:00",0.7,10.4,18,0,121.221667,24.953278,68
竹山,南投縣,61,細懸浮微粒,普通,1.8,0.26,79.1,46,42,22,5.8,6.8,0.9,3.2,288,"2024/06/07 16:00:00",0.2,19.5,29,0,120.677306,23.756389,69
永和,新北市,49,,良好,1.8,0.87,25.8,34.1,28,15,28.9,41.8,12.9,1.1,55,"2024/06/07 16:00:00",1.1,15.2,23,1,121.516306,25.017,70
復興,高雄市,46,,良好,1.5,0.24,48.4,42.3,13,9,10.1,12.1,1.9,1.3,282,"2024/06/07 16:00:00",0.4,14.2,22,1,120.312017,22.608711,71
埔里,南投縣,30,,良好,0.9,0.24,58.3,32.6,22,9,2.4,3.8,1.4,2.7,296,"2024/06/07 16:00:00",0.1,6.8,12,0,120.967903,23.968842,72
馬祖,連江縣,51,臭氧八小時,普通,0.4,0.17,60.8,55.3,15,1,4,5.2,1.1,1,9,"2024/06/07 16:00:00",0.1,3.5,12,0,119.93149378,26.15188416,75
金門,金門縣,77,臭氧八小時,普通,1.4,0.24,62.9,63.2,17,11,5.6,6.5,0.9,1.4,129,"2024/06/07 16:00:00",0.2,16.6,25,1,118.312256,24.432133,77
馬公,澎湖縣,47,,良好,1.3,0.16,55,51.9,17,7,2.4,3.1,0.6,3.1,7,"2024/06/07 16:00:00",0.1,5.4,11,1,119.566158,23.569031,78
關山,臺東縣,19,,良好,0.9,0.15,21,21.6,13,6,3.2,4.3,1.1,0.4,217,"2024/06/07 16:00:00",0.1,4.5,14,0,121.161933,23.045083,80
麥寮,雲林縣,47,,良好,1.4,0.17,52.8,51.5,22,7,2.1,3.5,1.3,4.5,347,"2024/06/07 16:00:00",0.1,7.3,20,2,120.251825,23.753506,83
富貴角,新北市,46,,良好,0,0.12,50.6,50.9,25,7,0.5,0.6,0,1.8,4,"2024/06/07 16:00:00",0.1,5.9,27,0,121.53656894,25.29681695,84
大城,彰化縣,61,臭氧八小時,普通,0.8,0.1,58.2,58.5,19,5,0.3,1.1,0.8,5.7,32,"2024/06/07 16:00:00",0.1,4.9,19,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,57,細懸浮微粒,普通,2.6,0.32,55.1,49.1,52,19,8.7,10.4,1.6,1.8,333,"2024/06/07 16:00:00",0.3,18.1,40,1,120.56373,23.96117,201
高雄（湖內）,高雄市,47,,良好,1.1,0.16,47.1,46.2,20,11,2.4,3.5,1.1,2.1,286,"2024/06/07 16:00:00",0.2,14.5,25,0,120.24535,22.87985556,202
臺南（麻豆）,臺南市,54,細懸浮微粒,普通,1.1,0.16,55,45.4,29,11,3.4,3.8,0.4,2.1,353,"2024/06/07 16:00:00",0.2,16.7,36,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,36,,良好,0.2,0.08,27.8,32.8,6,8,0.9,1.7,0.7,0.6,154,"2024/06/07 16:00:00",0.1,11,13,0,120.37722,22.35222,204
新北(樹林),新北市,49,,良好,0.9,0.28,26,27.4,26,15,13.4,14.3,0.9,0.2,356,"2024/06/07 16:00:00",0.3,15.1,25,0,121.38352778,24.94902778,311
大甲（日南國小）,臺中市,42,,良好,0.5,0.28,43.2,45.7,26,3,8.3,9.6,1.3,3,48,"2024/06/07 16:00:00",0.2,4.5,17,0,120.65525382,24.39017512,312
屏東(枋山),屏東縣,31,,良好,0.1,0.08,34,34.8,12,4,0.4,0.5,0.1,2.7,252,"2024/06/07 16:00:00",0.1,2.3,10,0,120.651472,22.260899,313
